Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To

0	(Not Applicable)		N/A	5693	14507	87794	15469	1954	2025
41	Aqua	BCE5DC	Solid	82	60	1593	135	1998	2006
11	Black	212121	Solid	13496	13865	19481	13960	1957	2025
7	Blue	0057A6	Solid	4373	9015	8280	4906	1950	2025
97	Blue-Violet	506CEF	Solid	38	19	1054	60	2004	2005
36	Bright Green	10CB31	Solid	892	2552	2985	996	1950	2025
105	Bright Light Blue	BCD1ED	Solid	602	798	2629	668	2004	2025
110	Bright Light Orange	FFC700	Solid	1517	2272	3392	1617	2003	2025
103	Bright Light Yellow	FFF08C	Solid	639	1212	2658	694	2004	2025
104	Bright Pink	F7BCDA	Solid	743	1638	1969	818	2003	2025
8	Brown	6B3F22	Solid	578	1100	3960	995	1974	2006
227	Clikits Lavender	E0AAD9	Solid	10	12	681	16	2005	2005
220	Coral	FF8172	Solid	279	502	991	293	2019	2025
153	Dark Azure	009FE0	Solid	922	1364	2349	971	2011	2025
63	Dark Blue	243757	Solid	2691	2621	5344	2789	1961	2025
109	Dark Blue-Violet	2032B0	Solid	8	6	1271	18	2004	2006
85	Dark Bluish Gray	595D60	Solid	4407	7609	8907	4927	1991	2025
120	Dark Brown	50372F	Solid	882	2093	3329	967	2007	2025
10	Dark Gray	6B5A5A	Solid	1048	1705	4591	1525	1961	2006
80	Dark Green	2E5543	Solid	1076	1387	3608	1161	1961	2025
225	Dark Nougat	CE7942	Solid	3	10	1092	52	2001	2004
242	Dark Olive Green	76753F	Solid			256	7		
68	Dark Orange	B35408	Solid	947	2231	2776	1022	1994	2025
47	Dark Pink	EF5BB3	Solid	875	1577	1890	968	1994	2025
89	Dark Purple	5F2683	Solid	1161	1534	2640	1268	2000	2025
59	Dark Red	6A0E15	Solid	1998	2226	4716	2085	1957	2025
231	Dark Salmon	FF6326	Solid	5	4	163	7	2003	2003
69	Dark Tan	B89869	Solid	1335	2978	3668	1400	1961	2025
39	Dark Turquoise	00A29F	Solid	853	1179	2129	924	1998	2025
161	Dark Yellow	DD982E	Solid	5	5	871	17	2004	2005
29	Earth Orange	E6881D	Solid	44	85	1238	54	1982	2005
106	Fabuland Brown	B3694E	Solid	7	26	1541	12	1979	1991
248	Fabuland Lime	ADD237	Solid	9	5	356	14	1982	1986
160	Fabuland Orange	EF9121	Solid	2	3	546	5	1983	1987
6	Green	00923D	Solid	2230	5936	5317	2563	1949	2025
154	Lavender	D3BDE3	Solid	453	688	1122	503	2011	2025
171	Lemon	EDDC44	Solid	3	1	9	3	1992	1992
152	Light Aqua	CFEFEA	Solid	600	825	1226	631	2011	2025
62	Light Blue	C8D9E1	Solid	19	18	996	85	1950	2007
86	Light Bluish Gray	AFB5C7	Solid	5158	8287	9658	5825	1993	2025
91	Light Brown	99663E	Solid	42	31	2017	97	2002	2006
9	Light Gray	9C9C9C	Solid	1866	3205	6281	2526	1954	2008
38	Light Green	D7EED1	Solid	64	57	707	125	1992	2005
246	Light Lilac	CDCCEE	Solid	1	1	58	3	2004	2004
35	Light Lime	ECEEBD	Solid	18	16	595	45	1998	2007
90	Light Nougat	FECCB0	Solid	2082	2045	3737	2072	2004	2025
32	Light Orange	FFBC36	Solid	17	17	605	78	1998	2004
93	Light Purple	AF3195	Solid	27	20	756	57	2003	2006
26	Light Salmon	FCC7B7	Solid	51	23	504	57	1997	2002
40	Light Turquoise	00C5BC	Solid	59	40	878	84	1998	2004
44	Light Violet	C9CAE2	Solid	69	38	389	86	1994	2002
33	Light Yellow	FEE89F	Solid	103	71	1343	171	1994	2005
245	Lilac	7862CE	Solid	7	7	455	11	2004	2007
34	Lime	C4E000	Solid	1952	3227	3304	2119	1998	2025
247	Little Robots Blue	5DBFE4	Solid	2	2	65	1	2003	2004
72	Maersk Blue	7DC1D8	Solid	84	14	817	107	1974	2011
71	Magenta	B72276	Solid	698	1300	1773	768	2000	2025
156	Medium Azure	6ACEE0	Solid	1039	1984	2248	1114	2012	2025
42	Medium Blue	82ADD8	Solid	919	1236	2383	1054	1949	2025
240	Medium Brown	A16C42	Solid	84	82	1276	85	2022	2025
94	Medium Dark Pink	F785B1	Solid	14	6	581	50	1992	1993
37	Medium Green	91DF8C	Solid	124	108	831	139	1950	2004
157	Medium Lavender	C689D9	Solid	617	937	1231	651	2012	2025
76	Medium Lime	DFE000	Solid	68	43	793	80	1998	2005
150	Medium Nougat	E3A05B	Solid	1341	2191	2759	1392	2010	2025
31	Medium Orange	FFA531	Solid	130	114	1178	173	1950	2007
241	Medium Tan	FBC685	Solid	182	106	1403	184	2022	2025
73	Medium Violet	9391E4	Solid	17	23	495	28	1999	2004
166	Neon Green	DBF355	Solid			453	10		
165	Neon Orange	FA5947	Solid			498	8		
236	Neon Yellow	FFFC00	Solid	165	133	603	168	2022	2025
28	Nougat	FFAF7D	Solid	393	446	1695	464	1979	2025
155	Olive Green	ABA953	Solid	691	651	2419	728	2012	2025
4	Orange	FF7E14	Solid	2380	4173	4733	2608	1998	2025
23	Pink	F5CDD6	Solid	101	66	1181	237	1992	2005
24	Purple	7A238D	Solid	133	125	1665	275	1997	2006
5	Red	B30006	Solid	8676	11645	14123	9208	1949	2025
88	Reddish Brown	82422A	Solid	2527	5290	5087	2773	1961	2025
167	Reddish Orange	FF5500	Solid	152	136	844	152	2024	2025
56	Rose Pink	F2D3D1	Solid	36	16	642	67	1991	1994
27	Rust	B24817	Solid	5	16	1926	36	1979	2005
25	Salmon	FF7D5D	Solid	83	27	582	94	1997	1999
55	Sand Blue	8899AB	Solid	813	881	2381	865	2001	2025
48	Sand Green	A2BFA3	Solid	787	1007	2258	848	1957	2025
54	Sand Purple	B57DA5	Solid	20	5	546	28	2001	2002
58	Sand Red	C58D80	Solid	39	18	585	43	2001	2004
169	Sienna	EA8339	Solid	24	15	224	25	2024	2025
87	Sky Blue	8AD4E1	Solid	37	34	987	49	2003	2007
2	Tan	EED9A4	Solid	2916	5768	6267	3204	1957	2025
168	Umber	735442	Solid	8	6	194	12	2024	2025
99	Very Light Bluish Gray	E4E8E8	Solid	54	51	1991	104	2004	2013
49	Very Light Gray	E8E8E8	Solid	21	24	1717	65	1997	2004
96	Very Light Orange	FFDCA4	Solid	1	2	658	23	2000	2000
43	Violet	3448A4	Solid	79	41	726	96	1992	2004
172	Warm Yellowish Orange	FFD788	Solid	1	1	14	9	2004	2004
1	White	FFFFFF	Solid	16303	12043	24229	16650	1949	2025
3	Yellow	FFE001	Solid	7173	11331	11508	8176	1949	2025
158	Yellowish Green	E7F2A7	Solid	273	459	713	291	2012	2025
113	Trans-Aqua	B7C8BF	Transparent	39	36	579	61	2003	2006
251	Trans-Black	777777	Transparent	58	70	593	83	2023	2025
108	Trans-Bright Green	10Cb31	Transparent	200	651	852	244	2006	2025
13	Trans-Brown	939484	Transparent	491	1856	1357	554	1999	2025
12	Trans-Clear	EEEEEE	Transparent	1169	5823	3444	1402	1950	2025
14	Trans-Dark Blue	00296B	Transparent	277	1856	1269	351	1978	2025
50	Trans-Dark Pink	CE1d9b	Transparent	266	886	765	293	1999	2025
20	Trans-Green	217625	Transparent	148	1610	771	195	1969	2025
15	Trans-Light Blue	68BCC5	Transparent	927	3439	2136	1064	1985	2025
226	Trans-Light Bright Green	71EB54	Transparent	26	17	258	56	2003	2006
221	Trans-Light Green	94E5AB	Transparent	10	5	261	26	2005	2006
164	Trans-Light Orange	E99A3A	Transparent	39	22	434	87	2003	2006
114	Trans-Light Purple	B97AB1	Transparent	20	20	306	34	2005	2006
